start station name,0
5 Corners Library,35
Astor Place,100
Baldwin at Montgomery,172
Bergen Ave,231
Brunswick & 6th,125
Brunswick St,112
Christ Hospital,96
City Hall,225
Columbus Dr at Exchange Pl,240
Columbus Drive,244
Communipaw & Berry Lane,38
Dey St,62
Dixon Mills,122
Essex Light Rail,128
Fairmount Ave,124
Glenwood Ave,78
Grand St,110
Grove St PATH,328
Hamilton Park,348
Harborside,370
Heights Elevator,80
Hilltop,136
Hoboken Ave at Monmouth St,147
JC Medical Center,258
Jackson Square,63
Jersey & 3rd,114
Jersey & 6th St,112
Journal Square,76
Lafayette Park,31
Leonard Gordon Park,21
Liberty Light Rail,347
Lincoln Park,95
Manila & 1st,112
Marin Light Rail,416
McGinley Square,214
Monmouth and 6th,147
Montgomery St,176
Morris Canal,322
Newark Ave,205
Newport PATH,263
Newport Pkwy,682
Oakland Ave,90
Paulus Hook,277
Pershing Field,159
Riverview Park,54
Sip Ave,525
Union St,64
Van Vorst Park,217
Warren St,239
Washington St,248
York St,90
