start station name,Trips
5 Corners Library,310
Astor Place,822
Baldwin at Montgomery,966
Bergen Ave,978
Brunswick & 6th,1488
Brunswick St,1261
Christ Hospital,454
City Hall,2226
Columbus Dr at Exchange Pl,2705
Columbus Drive,1680
Communipaw & Berry Lane,390
Dey St,391
Dixon Mills,1210
Essex Light Rail,929
Fairmount Ave,779
Glenwood Ave,447
Grand St,1093
Grove St PATH,5052
Hamilton Park,3456
Harborside,3223
Heights Elevator,606
Hilltop,697
Hoboken Ave at Monmouth St,883
JC Medical Center,2024
Jackson Square,343
Jersey & 3rd,1474
Jersey & 6th St,1224
Journal Square,825
Lafayette Park,630
Leonard Gordon Park,240
Liberty Light Rail,3864
Lincoln Park,883
Manila & 1st,1380
Marin Light Rail,2934
McGinley Square,1411
Monmouth and 6th,1226
Montgomery St,979
Morris Canal,2004
Newark Ave,1892
Newport PATH,2628
Newport Pkwy,3709
Oakland Ave,573
Paulus Hook,1811
Pershing Field,790
Riverview Park,411
Sip Ave,3412
Union St,353
Van Vorst Park,1621
Warren St,1817
Washington St,1803
York St,719
